*	name	Español
*	card-order	3
*	tts-voice	0,99,0,0,0
*	siri-tts-voice	,Siri|es-MX||com.apple.ttsbundle.Paulina-compact|español (México)|Siri,,,
*	card-theme	Chalkboard - Clear
*	notify-off	1
*	tsv	true
*	deck-stats-1	2636,2853,9993,0,61,70,77,85,159,155,113,50,117,0,70,52,62,87,130,0,135,20,70,88,70,88,93,106,30,70,119,34,107,1665,0,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,17475,0,151,158,154,198,200,171,102,140,273,0,111,127,155,122,311,0,205,50,167,144,176,104,151,189,63,174,164,83,252,14569,0,135,134,128,178,155,132,93,117,244,0,100,111,136,110,281,0,178,42,146,121,155,82,121,158,53,156,145,73,217,4927,0,0,0,0,0,142,179,170,0,0,0,96,0,0,140,0,0,0,0,0,107,28,162,15,0,0,0,162,0,0,6273,0,75,68,75,121,70,77,51,47,136,0,54,58,75,57,148,0,104,13,82,59,103,25,38,92,23,103,120,36,113,680642,0,7505,6815,6129,6257,2104,5107,6159,5660,13911,0,5901,7029,5270,7041,18468,0,8444,394,2952,2762,5137,1412,3281,6271,2394,5322,9790,1788,5631,14601,12193,4162,3549,2210,1861
*	deck-stats-2	2640,2852,8279,116,0,91,124,149,122,99,58,98,0,74,23,57,74,122,66,1,18,36,84,98,126,82,40,15,58,90,17,67,0,1349,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,0,14380,260,0,163,241,158,130,102,123,197,0,100,58,126,57,254,100,0,55,87,100,179,114,130,106,34,124,41,40,148,0,12500,206,0,135,170,141,108,87,116,181,0,90,54,115,52,239,87,0,52,81,90,160,97,117,103,34,111,38,37,130,0,4856,0,0,0,0,146,152,155,0,0,0,100,0,0,153,0,0,0,0,0,126,31,186,16,0,0,0,176,0,0,0,6873,59,0,80,81,103,73,39,76,99,0,44,24,66,12,108,70,0,25,54,39,107,34,71,79,22,82,19,21,62,0,734333,5224,0,6614,4924,7061,5327,6248,8690,11428,0,4669,2736,2259,3103,16960,2090,0,3004,2580,2434,7214,6655,9135,4353,1361,3678,1472,725,3061,0,11329,9592,3683,3360,2333,2137
*	deck-stats-3	2671,2672,0,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2	Category 1	Category 2	Text 3	Text 4	Statistics 1	Statistics 2	Statistics 3	Notes
"обрезать
урезать"	recortar					2,0,11,10,3,4,445,2017-10-21 18:00,2017-11-09 07:00	2,0,11,10,6,7,960,2017-10-20 21:35,2017-11-29 21:35		
"обряд
ритуал"	"rito

<u>ritos</u> religiosos"					2,0,3,3,3,4,127,2017-10-20 21:23,2017-10-26 04:23	2,0,3,3,3,4,117,2017-10-20 21:32,2017-10-25 18:32		
"обстановка
среда"	entorno					2,0,28,18,7,8,386,2017-10-16 20:41,2017-11-01 22:41	2,0,33,21,1,2,156,2017-10-23 10:51,2017-10-29 22:51		
обстоятельство	circunstancia					2,0,23,13,3,4,194,2017-10-16 22:00,2017-10-25 00:00	2,0,6,6,7,5,853,2017-09-22 10:00,2017-10-27 23:00		
"обсуждать
дискутировать"	discutir					2,0,8,7,5,6,477,2017-10-16 11:01,2017-11-05 08:01	2,0,5,5,6,4,473,2017-10-04 22:01,2017-10-24 15:01		
"обтёсывать
ваять"	tallar					2,0,7,6,7,8,311,2017-10-17 09:30,2017-10-30 08:30	2,0,5,5,5,5,239,2017-10-15 21:06,2017-10-25 20:06		
"обучение
образование"	enseñanza					2,0,8,6,1,2,140,2017-10-18 10:20,2017-10-24 06:20	2,0,9,8,9,10,638,2017-10-21 18:31,2017-11-17 08:31		Formación 
обходиться (без чего-либо)	prescindir de					2,0,13,10,8,9,457,2017-10-21 18:01,2017-11-09 19:01	2,0,6,6,6,4,520,2017-10-05 09:23,2017-10-27 01:23		
обширный	extenso					2,0,12,8,8,7,361,2017-10-11 10:48,2017-10-26 11:48	2,0,6,6,6,4,506,2017-10-05 09:23,2017-10-26 11:23		
общаться	comunicarse					2,0,12,11,7,4,1232,2017-09-21 11:20,2017-11-11 19:20	2,0,9,9,9,7,1456,2017-08-28 11:38,2017-10-28 03:38		
общество	sociedad					2,0,8,8,10,7,2308,2017-09-21 21:05,2017-12-27 01:05	2,0,9,9,9,7,1584,2017-09-22 10:18,2017-11-27 10:18	2,0,0,0,0,1,66,2017-04-26 10:57,2017-04-29 04:57	
обычно (делать)	soler inf					2,0,13,9,3,2,245,2017-10-13 18:29,2017-10-23 23:29	2,0,12,9,5,5,360,2017-10-10 09:38,2017-10-25 09:38		
"обычно
как правило"	habitualmente					2,0,12,11,6,5,1306,2017-10-07 15:51,2017-12-01 01:51	2,0,8,8,9,7,1649,2017-08-28 21:52,2017-11-05 14:52	1,0,0,0,1,2,0,2017-04-26 17:24,1970-01-01 03:00	
обычный	corriente					2,0,18,15,4,5,528,2017-10-22 20:27,2017-11-13 20:27	2,0,14,12,6,4,1005,2017-09-27 21:05,2017-11-08 18:05		
овдоветь	"enviudar
quedarse viudo"					2,0,17,13,5,2,870,2017-09-25 10:46,2017-10-31 16:46	2,0,8,8,9,7,1579,2017-08-28 21:41,2017-11-02 16:41		
огнестрельное оружие	arma de fuego					2,0,14,10,5,4,413,2017-10-15 21:30,2017-11-02 02:30	2,0,7,7,7,7,635,2017-10-12 10:07,2017-11-07 21:07		
"огнестрельное ранение
выстрел"	balazo					2,0,8,6,6,5,203,2017-10-15 21:25,2017-10-24 08:25	2,0,5,5,5,5,316,2017-10-16 20:37,2017-10-30 00:37		
огорчать	quejar								
"ограничивать
сокращать"	limitar					2,0,17,13,4,5,494,2017-10-21 18:01,2017-11-11 08:01	2,0,16,12,12,12,1649,2017-10-10 09:41,2017-12-18 02:41	2,0,0,0,0,1,22,2017-04-26 17:24,2017-04-27 15:24	
"одеваться
наряжаться"	"vestirse de/con
"					2,0,16,13,5,6,391,2017-10-22 20:26,2017-11-08 03:26	2,0,10,10,11,12,1779,2017-10-21 18:32,2018-01-03 21:32	2,0,0,0,0,1,74,2017-04-26 11:00,2017-04-29 13:00	
одежда	ropa					2,0,3,3,3,4,99,2017-10-23 10:28,2017-10-27 13:28	2,0,2,2,2,3,64,2017-10-21 18:24,2017-10-24 10:24		
одержимость	obsesión					2,0,3,3,3,4,131,2017-10-23 10:28,2017-10-28 21:28	2,0,3,3,3,4,124,2017-10-23 10:39,2017-10-28 14:39		
одинокий	solo					2,0,6,6,8,5,2605,2017-09-21 21:11,2018-01-08 10:11	2,0,11,11,11,12,1683,2017-10-23 10:49,2018-01-01 13:49		
одиночество	soledad								
"однако
тем не менее"	sin embargo					2,0,5,3,2,3,35,2017-10-23 20:48,2017-10-25 07:48	2,0,5,3,4,5,45,2017-10-23 10:32,2017-10-25 07:32		
"одобрять
признавать хорошим"	abonar					2,0,12,10,5,4,694,2017-10-10 21:44,2017-11-08 19:44	2,0,13,11,6,4,1306,2017-10-02 10:13,2017-11-25 20:13		
"ожерелье
колье"	collar					2,0,13,10,3,2,210,2017-10-15 21:24,2017-10-24 15:24	2,0,15,11,6,6,444,2017-10-17 09:33,2017-11-04 21:33		
"ожидание
терпение"	espera								
озеро	lago					2,0,10,9,4,3,507,2017-10-15 21:30,2017-11-06 00:30	2,0,7,7,10,8,1674,2017-09-22 10:12,2017-12-01 04:12		
"около
примерно"	"unos

<u>unos</u> 10 años"					2,0,13,12,11,8,1503,2017-09-21 11:36,2017-11-23 02:36	2,0,12,11,7,7,1664,2017-10-17 09:35,2017-12-25 17:35		
окрашивать	teñir (con, en, de)					2,0,18,14,7,6,367,2017-10-11 20:22,2017-10-27 03:22	2,0,9,9,9,9,1805,2017-10-16 10:17,2017-12-30 15:17		
окрестности	"alrededores

por <u>alrededores</u>"					2,0,5,5,5,6,340,2017-10-23 20:50,2017-11-07 00:50	2,0,4,4,4,4,230,2017-10-15 21:03,2017-10-25 11:03		
окружать	circundar					2,0,16,10,2,3,159,2017-10-17 20:15,2017-10-24 11:15	2,0,7,7,7,7,806,2017-10-15 21:12,2017-11-18 11:12		
"окружающая среда
окружающий мир"	medio ambiente					2,0,13,11,5,2,812,2017-09-21 20:51,2017-10-25 16:51	2,0,8,8,8,6,1218,2017-09-28 11:01,2017-11-18 05:01		
октябрь	octubre					2,0,11,9,9,6,2240,2017-09-21 21:05,2017-12-24 05:05	2,0,7,7,11,9,3461,2017-09-22 10:26,2018-02-13 15:26		
олень	reno					2,0,12,11,5,4,824,2017-10-15 21:32,2017-11-19 05:32	2,0,9,9,9,7,1136,2017-09-22 10:12,2017-11-08 18:12		
"оливка
маслина"	aceituna								
опасность	peligro					2,0,5,5,5,6,318,2017-10-17 20:17,2017-10-31 02:17	2,0,7,6,5,6,272,2017-10-19 21:00,2017-10-31 05:00		
опасный	peligroso					2,0,9,9,11,8,3528,2017-09-21 21:04,2018-02-15 21:04	2,0,9,9,11,9,3425,2017-09-25 21:36,2018-02-15 14:36		
"определять
решать"	determinar					2,0,6,6,6,5,479,2017-10-10 09:53,2017-10-30 08:53	2,0,7,7,7,8,667,2017-10-20 09:05,2017-11-17 04:05		
"организовывать
устраивать"	organizar					2,0,9,9,9,8,1254,2017-10-04 10:25,2017-11-25 16:25	2,0,8,8,10,10,1309,2017-10-09 10:35,2017-12-02 23:35		
"органы власти
власть"	las autoridades					2,0,14,11,3,2,454,2017-10-09 20:41,2017-10-28 18:41	2,0,8,8,9,7,1806,2017-08-28 21:53,2017-11-12 03:53		
орден	"la orden

dar las <u>ordenes</u>"					2,0,11,10,3,2,408,2017-10-09 10:57,2017-10-26 10:57	2,0,18,14,5,6,457,2017-10-23 10:47,2017-11-11 11:47		
орёл	àguila					2,0,6,5,6,7,208,2017-10-23 20:49,2017-11-01 12:49	2,0,4,4,4,5,161,2017-10-20 09:03,2017-10-27 02:03		
"орех

кедровые орехи"	"nuez

<u>nueses</u> de cedro"					2,0,3,3,3,4,135,2017-10-23 10:28,2017-10-29 01:28	2,0,3,3,3,4,132,2017-10-23 10:39,2017-10-28 22:39		
"освобождать
отпускать"	soltar					2,0,11,10,7,6,1394,2017-10-11 20:24,2017-12-08 22:24	2,0,12,11,12,13,1619,2017-10-20 09:04,2017-12-26 20:04		
"освобождаться
избегать"	escapar					2,0,23,15,2,3,151,2017-10-20 21:24,2017-10-27 04:24	2,0,19,15,2,2,243,2017-10-15 21:04,2017-10-26 00:04		
осёл	burro					2,0,5,5,5,6,235,2017-10-20 09:15,2017-10-30 04:15	2,0,4,4,4,4,185,2017-10-16 20:36,2017-10-24 13:36		
осень	"otoño

balada de <u>otoño</u>"					2,0,12,11,4,3,482,2017-10-12 10:18,2017-11-01 12:18	2,0,7,7,10,8,1568,2017-08-28 21:52,2017-11-02 05:52		
оскорблять	insultar					2,0,11,10,5,6,837,2017-10-17 20:35,2017-11-21 17:35	2,0,9,9,9,9,1495,2017-10-09 10:36,2017-12-10 17:36		
"основание
базис"	base					2,0,12,10,7,8,1020,2017-10-19 20:57,2017-12-01 08:57	2,0,8,8,8,6,833,2017-09-22 10:10,2017-10-27 03:10		
"основной
базовый"	bàsico					2,0,9,9,10,7,1710,2017-09-21 20:55,2017-12-02 02:55	2,0,8,8,9,7,1474,2017-09-22 10:17,2017-11-22 20:17		
"основывать
учреждать"	constituir								
оспа	viruela					2,0,4,4,4,3,202,2017-10-15 21:23,2017-10-24 07:23	2,0,4,4,4,4,273,2017-10-15 21:08,2017-10-27 06:08		
оставаться	"quedarse

moriría si <u>me quedo</u> en la mitad"					2,0,20,14,3,2,432,2017-10-09 10:55,2017-10-27 10:55	2,0,8,8,9,7,1958,2017-08-28 21:55,2017-11-18 11:55		
"оставлять
покидать"	abandonar					2,0,22,15,4,3,387,2017-10-10 21:44,2017-10-27 00:44	2,0,10,9,11,9,1417,2017-08-28 21:39,2017-10-26 22:39		
останавливаться	"pararse

el tiempo <u>se para</u> aqi"					2,0,15,12,3,2,391,2017-10-07 15:42,2017-10-23 22:42	2,0,10,10,10,10,1747,2017-10-13 09:25,2017-12-25 04:25		
остановка	"parada

recuerdo que quedamos en la <u>parada</u> del metro"					2,0,10,10,11,8,2124,2017-09-21 21:04,2017-12-19 09:04	2,0,8,8,10,8,2543,2017-09-22 10:27,2018-01-06 09:27		
остаток	resto					2,0,3,3,3,4,117,2017-10-23 20:50,2017-10-28 17:50	2,0,3,3,3,4,123,2017-10-23 20:52,2017-10-28 23:52		
осторожный	cauteloso					2,0,5,5,5,6,337,2017-10-18 10:19,2017-11-01 11:19	2,0,8,7,6,7,280,2017-10-20 09:02,2017-11-01 01:02		
остров	isla					2,0,9,9,9,8,1303,2017-10-09 11:00,2017-12-02 18:00	2,0,7,7,10,8,2587,2017-09-22 10:15,2018-01-08 05:15		
"острый
пикантный"	picante					2,0,10,9,12,9,1869,2017-09-21 11:22,2017-12-08 08:22	2,0,9,9,9,7,1255,2017-10-05 09:22,2017-11-26 16:22		
"осуждение
приговор"	condena					2,0,10,9,11,8,2060,2017-09-21 21:02,2017-12-16 17:02	2,0,25,17,4,4,386,2017-10-11 20:26,2017-10-27 22:26		
"отбросы
отходы"	desecho					2,0,9,9,9,8,1429,2017-10-12 10:18,2017-12-10 23:18	2,0,10,9,6,4,855,2017-09-22 10:08,2017-10-28 01:08		
"отвар
бульон"	caldo					2,0,14,10,3,4,333,2017-10-16 10:24,2017-10-30 07:24	2,0,8,8,8,6,1130,2017-09-22 10:09,2017-11-08 12:09		
"отвергать
отталкивать"	propulsar					2,0,12,10,4,3,628,2017-10-09 10:57,2017-11-04 14:57	2,0,14,11,5,5,325,2017-10-11 20:27,2017-10-25 09:27		
ответчик	demandado					2,0,10,8,7,6,373,2017-10-15 21:28,2017-10-31 10:28	2,0,10,8,6,7,490,2017-10-23 10:49,2017-11-12 20:49		
отвечать <i>(на вопрос)</i>	contestar					2,0,11,10,3,2,434,2017-10-09 10:55,2017-10-27 12:55	2,0,22,16,7,8,828,2017-10-17 20:38,2017-11-21 08:38		
"отвечать
быть ответственным"	responder					2,0,2,2,2,3,57,2017-10-21 17:46,2017-10-24 02:46	2,0,2,2,2,3,68,2017-10-21 18:20,2017-10-24 14:20		
"отдавать себе отчёт
догадаться"	darse cuenta de					2,0,4,3,4,5,58,2017-10-21 12:10,2017-10-23 22:10	2,0,4,3,3,4,61,2017-10-23 10:36,2017-10-25 23:36		
"отдавать
возвращать"	"devolver

<u>devolver</u> el libro"					2,0,24,16,7,6,394,2017-10-11 10:47,2017-10-27 20:47	2,0,8,8,9,7,1451,2017-08-28 21:37,2017-10-28 08:37		
"отдавать
уступить"	ceder					2,0,2,2,2,3,64,2017-10-22 20:20,2017-10-25 12:20	2,0,5,2,2,3,16,2017-10-23 20:53,2017-10-24 12:53		
"отделение
филиал (без права юрлица)"	sucursal					2,0,10,9,11,8,1525,2017-09-21 11:28,2017-11-24 00:28	2,0,9,9,9,7,1165,2017-10-04 22:01,2017-11-22 11:01		
"отделиться
развестись"	separarse					2,0,4,4,4,3,224,2017-10-15 21:24,2017-10-25 05:24	2,0,4,4,4,4,214,2017-10-16 20:35,2017-10-25 18:35		
"отдыхать
покоиться в могиле"	reposar					2,0,4,3,4,5,66,2017-10-21 18:34,2017-10-24 12:34	2,0,5,3,1,2,14,2017-10-23 10:35,2017-10-24 00:35		
"отказываться
отнекиваться"	negarse a <i>(inf)</i>					2,0,2,2,2,3,59,2017-10-21 17:45,2017-10-24 04:45	2,0,5,2,2,3,14,2017-10-23 20:53,2017-10-24 10:53		
откормиться	engordarse					2,0,13,11,6,7,795,2017-10-16 10:26,2017-11-18 13:26	2,0,9,9,9,9,1392,2017-10-09 10:31,2017-12-06 10:31		
"открытие
находка"	descubrimiento					2,0,8,8,8,7,905,2017-09-28 11:14,2017-11-05 04:14	2,0,9,9,9,7,965,2017-09-25 10:26,2017-11-04 15:26		
отлипнуть	despegarse								
"отличный
другой"	distinto					2,0,8,8,9,6,1413,2017-09-21 11:37,2017-11-19 08:37	2,0,16,14,12,10,1353,2017-09-22 10:16,2017-11-17 19:16	1,0,0,0,1,2,0,2017-04-26 17:25,1970-01-01 03:00	
"отмечать
праздновать"	festejar					2,0,8,7,5,4,394,2017-10-15 21:29,2017-11-01 07:29	2,0,6,6,6,6,543,2017-10-16 10:16,2017-11-08 01:16		
отнимать	"quitar

<u>quitar</u> a una persona dinero"					2,0,16,12,3,4,274,2017-10-23 10:29,2017-11-03 20:29	2,0,9,9,9,7,1136,2017-09-22 10:11,2017-11-08 18:11		
отношение	actitud								
"отойти
отдалиться"	alejarse					2,0,6,6,6,5,408,2017-10-07 15:48,2017-10-24 15:48	2,0,9,8,9,10,576,2017-10-23 10:49,2017-11-16 10:49		
отопление	calefaccíon					2,0,15,12,10,7,1778,2017-09-21 20:56,2017-12-04 22:56	2,0,9,9,10,8,1679,2017-08-28 21:49,2017-11-06 20:49		
отпечатки пальцев	huellas digitales					2,0,13,11,3,2,393,2017-10-15 21:28,2017-11-01 06:28	2,0,9,9,9,9,1522,2017-10-09 20:53,2017-12-12 06:53		
"отпечатки
следы"	huellas					2,0,12,10,4,5,568,2017-10-18 10:20,2017-11-11 02:20	2,0,9,9,9,9,1198,2017-10-09 10:31,2017-11-28 08:31		
"отправить
послать"	"enviar
mandar"					2,0,16,13,11,8,1797,2017-09-21 20:59,2017-12-05 17:59	2,0,14,13,11,11,1512,2017-10-15 21:11,2017-12-17 21:11		
"отпускать на волю
копить"	ahorrar					2,0,6,6,6,5,497,2017-10-11 20:22,2017-11-01 13:22	2,0,17,11,1,2,52,2017-10-23 10:42,2017-10-25 14:42		
"отредактировать
проверять"	repasar					2,0,2,2,2,3,65,2017-10-21 17:56,2017-10-24 10:56	2,0,5,2,2,3,14,2017-10-23 20:52,2017-10-24 10:52		
"отступить
отойти"	retroceder					2,0,5,3,3,4,31,2017-10-23 20:48,2017-10-25 03:48	2,0,4,3,4,5,54,2017-10-23 10:36,2017-10-25 16:36		
отстутствовать	faltar					2,0,10,10,11,8,2491,2017-09-21 21:06,2018-01-03 16:06	2,0,13,12,10,8,1527,2017-09-22 10:16,2017-11-25 01:16		
охота	caza					2,0,14,12,3,2,381,2017-10-12 10:18,2017-10-28 07:18	2,0,8,8,9,7,1211,2017-09-22 10:14,2017-11-11 21:14		
"очаг
плита
дом"	hogar					2,0,13,11,7,6,1060,2017-09-29 09:03,2017-11-12 13:03	2,0,12,9,1,2,68,2017-10-23 10:45,2017-10-26 06:45		
очень везёт	tener mucha suerte					2,0,5,5,6,5,529,2017-10-04 21:55,2017-10-26 22:55	2,0,6,6,6,4,541,2017-10-06 00:01,2017-10-28 13:01		
"очередной
обычный"	ordinario					2,0,18,14,6,5,380,2017-10-13 09:37,2017-10-29 05:37	2,0,12,11,8,8,1549,2017-10-11 20:27,2017-12-15 09:27		
"очередь
хвост"	cola					2,0,8,8,10,7,3259,2017-09-22 10:31,2018-02-05 05:31	2,0,8,8,9,7,1746,2017-08-28 21:52,2017-11-09 15:52		
"очертание
контур"	contorno					2,0,6,5,6,7,186,2017-10-23 10:27,2017-10-31 04:27	2,0,4,4,4,5,215,2017-10-21 18:27,2017-10-30 17:27		
"очищать
облагораживать"	refinar					2,0,25,17,3,4,274,2017-10-19 20:56,2017-10-31 06:56	2,0,11,10,11,9,1359,2017-08-28 11:32,2017-10-24 02:32		
"очищать
прочистить желудок"	purgar					2,0,4,4,4,5,194,2017-10-21 17:58,2017-10-29 19:58	2,0,4,4,4,5,235,2017-10-23 10:41,2017-11-02 05:41		
"очищать
снимать обвинение"	limpiar					2,0,8,8,9,6,1401,2017-09-21 11:36,2017-11-18 20:36	2,0,9,9,9,7,1640,2017-09-22 10:17,2017-11-29 18:17		
"ощущение
чувство
сенсация"	sensación					2,0,8,8,10,9,2279,2017-10-07 15:52,2018-01-10 14:52	2,0,12,11,11,11,1582,2017-10-15 21:13,2017-12-20 19:13		
падать	caer					2,0,12,11,10,9,2058,2017-10-05 23:58,2017-12-30 17:58	2,0,8,8,10,8,2628,2017-09-22 10:26,2018-01-09 22:26		
падение	caída					2,0,10,10,11,10,2349,2017-10-12 10:19,2018-01-18 07:19	2,0,8,8,9,7,1422,2017-08-28 21:41,2017-10-27 03:41		
палка о двух концах	espada de doble filo					2,0,8,6,2,3,160,2017-10-23 10:28,2017-10-30 02:28	2,0,5,5,5,6,308,2017-10-17 20:36,2017-10-30 16:36		
"пальто
плащ"	abrigo					2,0,8,8,10,7,3061,2017-09-21 21:12,2018-01-27 10:12	2,0,11,10,7,8,1879,2017-10-17 20:38,2018-01-04 03:38		
"пар
обморок"	vapor					2,0,7,7,8,5,1191,2017-09-19 20:56,2017-11-08 11:56	2,0,15,12,6,4,493,2017-10-05 09:23,2017-10-25 22:23		
"пара
партнёр"	pareja					2,0,12,11,4,5,553,2017-10-23 10:30,2017-11-15 11:30	2,0,10,10,10,8,1644,2017-09-22 10:23,2017-11-29 22:23		
парашют	paracaídas					2,0,6,6,7,4,1498,2017-09-21 20:55,2017-11-23 06:55	2,0,9,8,4,5,372,2017-10-21 18:29,2017-11-06 06:29		
"парашютист
десантник"	paracaidista					2,0,4,4,4,3,251,2017-10-15 21:24,2017-10-26 08:24	2,0,5,5,5,6,272,2017-10-21 18:26,2017-11-02 02:26		
парик	peluca					2,0,7,6,4,5,294,2017-10-22 20:24,2017-11-04 02:24	2,0,5,5,5,5,308,2017-10-16 20:37,2017-10-29 16:37		
парикмахерская	peluquerìa					2,0,5,5,5,6,409,2017-10-20 21:25,2017-11-06 22:25	2,0,5,5,5,5,301,2017-10-16 20:36,2017-10-29 09:36		
партизан	guerrillero					2,0,8,8,8,7,1417,2017-10-09 10:59,2017-12-07 11:59	2,0,9,9,9,9,1417,2017-10-09 10:35,2017-12-07 11:35		
"партнёр
компаньон"	socio					2,0,14,12,6,5,1158,2017-10-07 15:50,2017-11-24 21:50	2,0,20,14,1,2,142,2017-10-23 10:48,2017-10-29 08:48		
"парус
свеча"	vela					2,0,11,10,5,2,905,2017-09-25 10:45,2017-11-02 03:45	2,0,8,8,8,6,1048,2017-09-22 10:10,2017-11-05 02:10		
пастбище	pasto					2,0,19,13,5,4,417,2017-10-12 10:18,2017-10-29 19:18	2,0,8,8,9,7,1381,2017-09-22 10:11,2017-11-18 23:11		
"паук
люстра"	araña					2,0,9,8,11,8,2860,2017-09-21 20:58,2018-01-19 00:58	2,0,8,8,9,7,1518,2017-08-28 21:49,2017-10-31 03:49		
паутина	telaraña								
пацан	chaval					2,0,8,8,8,9,1126,2017-10-22 20:28,2017-12-08 18:28	2,0,9,8,9,9,739,2017-10-12 10:13,2017-11-12 05:13		
"первый
во-первых"	primero					2,0,7,7,8,5,1244,2017-09-21 11:21,2017-11-12 07:21	2,0,8,8,8,6,1131,2017-09-22 10:11,2017-11-08 13:11		
переваривать	digerir					2,0,19,13,6,3,809,2017-09-21 20:51,2017-10-25 13:51	2,0,10,9,4,4,473,2017-10-15 21:11,2017-11-04 14:11		
"переворачивать
будоражить"	revolver								
перегородка	muro					2,0,12,11,12,13,1597,2017-10-21 18:02,2017-12-27 07:02	2,0,10,10,10,10,1556,2017-10-11 20:27,2017-12-15 16:27		
"перед
спереди"	"ante
delante de"					2,0,13,10,4,5,547,2017-10-17 20:17,2017-11-09 15:17	2,0,25,15,5,6,708,2017-10-23 10:50,2017-11-21 22:50		
"переехать
переселиться"	mudarse					2,0,7,6,2,3,254,2017-10-18 10:18,2017-10-29 00:18	2,0,6,6,6,6,503,2017-10-09 10:28,2017-10-30 09:28		
перелёт	vuelo					2,0,6,6,6,5,403,2017-10-09 20:43,2017-10-26 15:43	2,0,7,7,7,8,572,2017-10-20 09:03,2017-11-13 05:03		
"переплетать
заплетать"	entrelazar					2,0,8,8,9,6,1455,2017-09-21 11:28,2017-11-21 02:28	2,0,13,11,4,5,612,2017-10-19 21:01,2017-11-14 09:01		
перешеек	istmo					2,0,11,10,10,9,1478,2017-10-15 21:33,2017-12-16 11:33	2,0,11,10,5,3,859,2017-09-22 10:08,2017-10-28 05:08		
перстень	anillo					2,0,13,10,3,2,396,2017-10-07 15:44,2017-10-24 03:44	2,0,9,8,12,10,2249,2017-09-22 10:22,2017-12-25 03:22		
перчатка	guante					2,0,9,9,9,8,1345,2017-10-09 10:59,2017-12-04 11:59	2,0,9,9,9,9,1518,2017-10-09 10:31,2017-12-11 16:31		
петух	gallo					2,0,3,3,3,4,101,2017-10-23 10:26,2017-10-27 15:26	2,0,4,3,4,5,66,2017-10-23 10:35,2017-10-26 04:35		
печатать	imprimir					2,0,11,10,5,4,831,2017-10-15 21:33,2017-11-19 12:33	2,0,11,10,7,5,1033,2017-09-28 11:02,2017-11-10 12:02		
печень	hìgado					2,0,9,9,9,8,1452,2017-10-11 10:49,2017-12-10 22:49	2,0,9,8,4,2,477,2017-10-06 00:00,2017-10-25 21:00		
пешеход	peatón					2,0,3,3,3,4,93,2017-10-23 10:26,2017-10-27 07:26	2,0,2,2,2,3,72,2017-10-21 18:23,2017-10-24 18:23		
пешком	a pie					2,0,16,13,1,2,133,2017-10-19 20:58,2017-10-25 09:58	2,0,18,14,6,4,828,2017-09-22 10:09,2017-10-26 22:09		
пещера	cueva					2,0,14,11,6,3,813,2017-09-21 11:17,2017-10-25 08:17	2,0,6,6,8,6,2306,2017-09-22 10:15,2017-12-27 12:15		
"пиджак
жакет"	americana					2,0,8,8,9,6,1578,2017-09-21 20:52,2017-11-26 14:52	2,0,9,9,9,7,1120,2017-10-01 13:53,2017-11-17 05:53		
пилить	aserrar					2,0,10,9,9,8,865,2017-10-15 21:32,2017-11-20 22:32	2,0,7,7,7,7,771,2017-10-15 21:11,2017-11-17 00:11		
"пирожное
пастель"	pastel					2,0,4,4,4,5,187,2017-10-20 09:14,2017-10-28 04:14	2,0,4,4,4,5,184,2017-10-21 18:25,2017-10-29 10:25		
писательница	escritora					2,0,9,9,10,7,2287,2017-09-21 11:25,2017-12-25 18:25	2,0,8,8,11,9,3883,2017-09-22 10:26,2018-03-03 05:26		
питание	alimento					2,0,4,3,2,3,44,2017-10-23 20:47,2017-10-25 16:47	2,0,3,3,3,4,111,2017-10-23 10:38,2017-10-28 01:38		
пить	beber					2,0,8,8,9,6,1636,2017-09-21 20:58,2017-11-29 00:58	2,0,8,8,10,8,2119,2017-09-22 10:26,2017-12-19 17:26	2,0,0,0,0,1,78,2017-04-26 10:57,2017-04-29 16:57	
"плавить
расплавить"	fundir					2,0,5,5,5,6,336,2017-10-18 10:18,2017-11-01 10:18	2,0,5,5,5,5,330,2017-10-17 09:34,2017-10-31 03:34		
плакать	"llorar

junto a la estación hoy <u>lloraré</u> igual que un niño"					2,0,9,9,12,9,3289,2017-09-21 21:11,2018-02-05 22:11	2,0,8,8,10,8,2525,2017-09-22 10:26,2018-01-05 15:26		
платить	pagar					2,0,9,8,3,4,407,2017-10-19 11:07,2017-11-05 10:07	2,0,8,8,8,6,1466,2017-08-28 21:48,2017-10-28 23:48		
