*	name	Español
*	card-order	3
*	tts-voice	0,99,0,0,0
*	siri-tts-voice	,Siri|es-MX||com.apple.ttsbundle.Paulina-compact|español (México)|Siri,,,
*	card-theme	Chalkboard - Clear
*	notify-off	1
*	tsv	true
*	deck-stats-1	2636,2853,9993,0,61,70,77,85,159,155,113,50,117,0,70,52,62,87,130,0,135,20,70,88,70,88,93,106,30,70,119,34,107,1665,0,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,17475,0,151,158,154,198,200,171,102,140,273,0,111,127,155,122,311,0,205,50,167,144,176,104,151,189,63,174,164,83,252,14569,0,135,134,128,178,155,132,93,117,244,0,100,111,136,110,281,0,178,42,146,121,155,82,121,158,53,156,145,73,217,4927,0,0,0,0,0,142,179,170,0,0,0,96,0,0,140,0,0,0,0,0,107,28,162,15,0,0,0,162,0,0,6273,0,75,68,75,121,70,77,51,47,136,0,54,58,75,57,148,0,104,13,82,59,103,25,38,92,23,103,120,36,113,680642,0,7505,6815,6129,6257,2104,5107,6159,5660,13911,0,5901,7029,5270,7041,18468,0,8444,394,2952,2762,5137,1412,3281,6271,2394,5322,9790,1788,5631,14601,12193,4162,3549,2210,1861
*	deck-stats-2	2640,2852,8279,116,0,91,124,149,122,99,58,98,0,74,23,57,74,122,66,1,18,36,84,98,126,82,40,15,58,90,17,67,0,1349,0,0,0,0,26,45,43,0,0,0,29,0,0,41,0,0,0,0,0,32,9,48,5,0,0,0,45,0,0,0,14380,260,0,163,241,158,130,102,123,197,0,100,58,126,57,254,100,0,55,87,100,179,114,130,106,34,124,41,40,148,0,12500,206,0,135,170,141,108,87,116,181,0,90,54,115,52,239,87,0,52,81,90,160,97,117,103,34,111,38,37,130,0,4856,0,0,0,0,146,152,155,0,0,0,100,0,0,153,0,0,0,0,0,126,31,186,16,0,0,0,176,0,0,0,6873,59,0,80,81,103,73,39,76,99,0,44,24,66,12,108,70,0,25,54,39,107,34,71,79,22,82,19,21,62,0,734333,5224,0,6614,4924,7061,5327,6248,8690,11428,0,4669,2736,2259,3103,16960,2090,0,3004,2580,2434,7214,6655,9135,4353,1361,3678,1472,725,3061,0,11329,9592,3683,3360,2333,2137
*	deck-stats-3	2671,2672,0,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2	Category 1	Category 2	Text 3	Text 4	Statistics 1	Statistics 2	Statistics 3	Notes
"благославенный
святой"	bendito					2,0,8,8,9,6,1427,2017-09-21 11:22,2017-11-19 22:22	2,0,8,8,9,7,1571,2017-09-22 10:16,2017-11-26 21:16		
благословлять	bendecir					2,0,11,10,5,2,839,2017-09-22 10:31,2017-10-27 09:31	2,0,8,8,9,9,1729,2017-10-12 21:27,2017-12-23 22:27		
блеск	"brillo

<u>brillos</u> mortales despuntan al alba"					2,0,16,13,4,5,646,2017-10-23 10:31,2017-11-19 08:31	2,0,8,8,9,7,1465,2017-08-28 21:49,2017-10-28 22:49		
близко	"no lejos de
cerca de
junto a
a mi lado"					2,0,11,11,11,10,1925,2017-09-29 09:02,2017-12-18 14:02	2,0,9,9,9,7,1608,2017-08-28 21:48,2017-11-03 21:48		
"блюдце
тарелочка"	platillo					2,0,21,14,2,3,206,2017-10-17 20:15,2017-10-26 10:15	2,0,9,9,9,7,1286,2017-10-01 13:53,2017-11-24 03:53		
"богач
богатый"	rico					2,0,9,9,11,8,1984,2017-09-21 21:03,2017-12-13 13:03	2,0,9,9,12,10,3302,2017-09-22 10:25,2018-02-07 00:25		
"богослужение
месса"	misa					2,0,9,8,1,2,141,2017-10-20 21:27,2017-10-26 18:27	2,0,11,10,2,3,222,2017-10-21 18:27,2017-10-31 00:27		
боевые искусства	artes marciales					2,0,7,7,9,6,1921,2017-09-21 21:04,2017-12-10 22:04	2,0,7,7,9,7,2041,2017-08-28 21:54,2017-11-21 22:54		
"божественный
дивный
чудесный"	divino					2,0,6,6,6,5,572,2017-10-15 21:31,2017-11-08 17:31	2,0,8,7,8,6,509,2017-10-05 09:23,2017-10-26 14:23		
божество	divinidad					2,0,9,7,5,4,322,2017-10-10 21:43,2017-10-24 07:43	2,0,7,7,7,8,556,2017-10-21 18:29,2017-11-13 22:29		
бок (анатом)	costado					2,0,25,16,2,3,167,2017-10-16 22:00,2017-10-23 21:00	2,0,12,10,5,5,500,2017-10-17 09:35,2017-11-07 05:35		
"бокал
кубок"	"copa

me quedaré bebiendo esta <u>copa</u> a tu salud"					2,0,10,10,10,7,1625,2017-09-21 11:34,2017-11-28 04:34	2,0,9,7,1,2,139,2017-10-20 09:05,2017-10-26 04:05	2,0,0,0,0,1,19,2017-04-26 10:57,2017-04-27 05:57	
болезненный	doloroso					2,0,8,8,10,7,1828,2017-09-21 20:59,2017-12-07 00:59	2,0,7,7,9,7,1461,2017-08-28 11:37,2017-10-28 08:37		
болезнь	enfermedad					2,0,5,5,5,6,266,2017-10-18 10:18,2017-10-29 12:18	2,0,4,4,4,4,207,2017-10-15 21:03,2017-10-24 12:03		
болеть	"tener dolor

comienzo a <u>tener dolor</u> de cabeza"					2,0,16,14,6,5,1090,2017-10-01 14:11,2017-11-16 00:11	2,0,9,9,9,7,1423,2017-08-28 21:37,2017-10-27 04:37		
болото	pantano					2,0,6,4,5,6,88,2017-10-23 20:48,2017-10-27 12:48	2,0,3,3,3,4,106,2017-10-23 10:39,2017-10-27 20:39		
большинство	mayoría					2,0,9,9,10,7,3135,2017-09-21 20:59,2018-01-30 11:59	2,0,7,7,9,7,2210,2017-08-28 21:55,2017-11-28 23:55		
