*	name	Conjugation verbos
*	card-order	3
*	max-new-cards	20
*	card-theme	Chalkboard - Clear
*	tsv	true
*	category-1	participio pasado|futuro|gerundio|pretérito imperfecto|presente|condicional|pretérito perfector simple|subjuntivo pretérito imperfecto|presente subjuntivo
*	deck-stats-1	2636,2880,1628,38,16,1,9,16,15,27,19,16,6,10,40,17,14,41,21,49,195,6,6,16,7,10,0,1,2,4,4,9,7,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,1245,15,13,1,6,16,15,24,20,11,6,12,39,17,9,45,15,49,12,9,3,2,10,9,0,3,6,6,5,10,10,1128,11,10,1,5,14,13,21,15,9,5,12,34,15,8,40,14,42,8,8,3,2,10,8,0,3,4,5,5,8,9,454,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,6,0,0,0,0,0,0,0,0,0,624,3,2,0,3,4,7,8,-9,2,1,11,26,9,5,37,12,29,0,1,2,2,3,3,0,3,-4,2,4,5,4,68060,521,305,149,115,370,860,583,-1037,538,147,985,1150,723,266,1081,722,425,715,541,30,182,647,452,0,145,54,185,181,494,575,1062,948,334,290,242,227
Text 1	Text 2	Text 3	Category 1	Statistics 1
"<u>empezar</u>

pretérito perfecto simple"	"empecé
empezaste
empezó
empezamos
empezasteis
empezaron"		pretérito perfector simple	2,0,8,7,7,6,532,2017-11-12 09:44,2017-12-04 13:44
"<u>escribir</u>

participio pasado"	escrito		participio pasado	2,0,12,10,3,4,225,2017-11-19 12:55,2017-11-28 21:55
"<u>escribir</u>

subjuntivo pretérito imperfecto"	"escribiera
escribieras
escribiera
escribiéramos
escribierais
escribieran"	"escribiese
escribieses
escribiese
escribiésemos
escribieseis
escribiesen"	subjuntivo pretérito imperfecto	2,0,11,8,4,5,114,2017-11-20 10:59,2017-11-25 04:59
"<u>espiar</u>

presente subjuntivo"	"espíe
espíes
espíe
espiemos
espiéis
espíen"		presente subjuntivo	2,0,4,4,4,3,258,2017-11-16 20:09,2017-11-27 14:09
"<u>estar</u>

presente subjuntivo"	"esté
estés
esté
estemos
estéis
estén"		presente subjuntivo	2,0,4,4,4,3,253,2017-11-16 20:09,2017-11-27 09:09
"<u>estar

</u>pretérito perfector simple"	"estuve
estuviste
estuvo
estuvimos
estuvisteis
estuvieron"		pretérito perfector simple	2,0,13,11,10,9,1430,2017-10-07 13:41,2017-12-06 03:41
"<u>freir</u>

participio pasado"	frito		participio pasado	2,0,9,9,10,9,1970,2017-09-29 08:50,2017-12-20 10:50
"<u>golpear</u>

presente"	"golpeo
golpeas
golpea
golpeamos
golpeáis
golpean"		presente	2,0,9,9,9,8,1434,2017-10-24 08:14,2017-12-23 02:14
"<u>golpear</u>

pretérito perfector simple"	"golpeé
golpeaste
golpeó
golpeamos
golpeasteis
golpearon"		pretérito perfector simple	2,0,15,12,5,4,1001,2017-10-29 11:50,2017-12-10 04:50
"<u>haber

</u>presente"	"he
has
ha
hemos
habéis
han"		presente	2,0,10,10,10,9,1576,2017-11-01 21:40,2018-01-06 13:40
"<u>haber</u>

presente subjuntivo"	"haya
hayas
haya
hayamos
hayáis
hayan"		presente subjuntivo	2,0,5,3,1,2,36,2017-11-19 12:57,2017-11-21 00:57
"<u>haber</u>

pretérito perfecto simple"	"hube
hubiste
hubo
hubimos
hubisteis
hubieron"		pretérito perfector simple	2,0,7,7,7,6,559,2017-11-15 21:46,2017-12-09 04:46
"<u>hablar</u>

presente subjuntivo"	"hable
hables
hable
hablemos
habléis
hablen"		presente subjuntivo	2,0,4,4,4,3,184,2017-11-13 21:29,2017-11-21 13:29
"<u>hablar
</u>
pretérito perfecto simple"	"hablé
hablaste
habló
hablamos
hablasteis
hablaron"		pretérito perfector simple	2,0,16,13,5,4,879,2017-10-23 10:52,2017-11-29 01:52
"<u>hacer</u>

condicional"	"haría
harías
haría
haríamos
haríais
harían"		condicional	2,0,12,11,6,5,1103,2017-10-24 08:14,2017-12-09 07:14
"<u>hacer

</u>futuro"	"haré
harás
hará
haremos
haréis
harán"		futuro	2,0,6,6,6,5,552,2017-11-05 19:14,2017-11-28 19:14
"<u>hacer</u>

participio pasado"	hecho		participio pasado	2,0,13,12,5,4,839,2017-11-06 14:59,2017-12-11 13:59
"<u>hacer</u>

presente subjuntivo"	"haga
hagas
haga
hagamos
hagáis
hagan"		presente subjuntivo	2,0,4,4,4,3,201,2017-11-14 08:35,2017-11-22 17:35
"<u>hacer

</u>pretérito perfector simple"	"hice
hiciste
hizo
hicimos
hicisteis
hicieron"		pretérito perfector simple	2,0,18,14,3,4,400,2017-11-20 21:48,2017-12-07 13:48
"<u>investigar</u>

presente subjuntivo"	"investigue
investigues
investigue
investiguemos
investiguéis
investiguen"		presente subjuntivo	2,0,4,4,4,3,240,2017-11-15 10:20,2017-11-25 10:20
"<u>ir</u>

condicional"	"iría
irías
iría
iríamos
iríais
irían"		condicional	2,0,10,10,10,9,2072,2017-10-22 15:46,2018-01-16 23:46
"<u>ir</u>

futuro"	"iré
irás
irá
iremos
iréis
irán"		futuro	2,0,10,10,10,9,2254,2017-11-14 21:38,2018-02-16 19:38
"<u>ir</u>

gerundio"	yendo		gerundio	2,0,8,8,9,8,2358,2017-09-19 10:36,2017-12-26 16:36
"<u>ir</u>

participio pasado"	ido		participio pasado	2,0,28,19,8,7,1358,2017-10-30 10:10,2017-12-26 00:10
"<u>ir</u>

presente"	"voy
vas
va
vamos
vais
van"		presente	2,0,7,7,10,9,1945,2017-09-12 11:09,2017-12-02 12:09
"<u>ir</u>

presente subjuntivo"	"vaya
vayas
vaya
vayamos
vayáis
vayan"		presente subjuntivo	2,0,4,4,4,3,189,2017-11-13 09:39,2017-11-21 06:39
"<u>ir</u>

preterio imperfecto"	"iba
ibas
iba
íbamos
ibais
iban"		pretérito imperfecto	2,0,21,16,5,4,754,2017-10-23 20:42,2017-11-24 06:42
"<u>ir

</u>pretérito perfector simple"	"fui
fuiste
fue
fuimos
fuisteis
fueron"		pretérito perfector simple	2,0,14,12,5,4,866,2017-10-24 08:14,2017-11-29 10:14
"<u>jurar

</u>pretérito perfector simple"	"juré
juraste
juró
juramos
jurasteis
juraron"		pretérito perfector simple	2,0,14,12,12,13,2405,2017-11-17 22:41,2018-02-26 03:41
"<u>leer</u>

gerundio"	leyendo		gerundio	2,0,9,9,10,9,1751,2017-09-21 11:03,2017-12-03 10:03
"<u>leer</u>

pretérito perfecto simple"	"leí
leíste
leyó
leímos
leísteis
leyeron"		pretérito perfector simple	2,0,6,6,6,5,529,2017-11-04 10:40,2017-11-26 11:40
"<u>llover</u>

presente"	<i>(él/ella/Ud.)</i> llueve		presente	2,0,6,5,1,2,149,2017-11-19 12:57,2017-11-25 17:57
"<u>llover</u>

pretérito perfector simple"	<i>(él/ella/Ud.)</i> llovió		pretérito perfector simple	2,0,12,9,4,5,178,2017-11-20 21:48,2017-11-28 07:48
"<u>mecer</u>

presente"	"mezo
meces
mece
mecemos
mecéis
mecen"		presente	2,0,7,6,5,4,318,2017-11-12 09:45,2017-11-25 15:45
"<u>mecer</u>

presente subjuntivo"	"meza
mezas
meza
mezamos
mezáis
mezan"		presente subjuntivo	2,0,6,5,6,5,240,2017-11-16 20:09,2017-11-26 20:09
"<u>morir</u>

gerundio"	muriendo		gerundio	2,0,21,17,7,6,605,2017-10-30 10:10,2017-11-24 15:10
"<u>morir</u>

participio pasado"	muerto		participio pasado	2,0,9,9,10,9,2684,2017-11-05 19:13,2018-02-25 15:13
"<u>mostrar</u>

presente"	"muestro
muestras
muestra
mostramos
mostráis
muestran"		presente	2,0,6,6,6,5,463,2017-11-10 23:30,2017-11-30 06:30
"<u>mostrar</u>

pretérito perfector simple"	"mostré
mostraste
mostró
mostramos
mostrasteis
mostraron"		pretérito perfector simple	2,0,7,6,2,3,241,2017-11-19 12:55,2017-11-29 13:55
"<u>nevar</u>

presente"	<i>(él/ella/Ud.)</i> nieva		presente	2,0,21,12,2,3,51,2017-11-20 21:48,2017-11-23 00:48
"<u>nevar</u>

pretérito perfector simple"	<i>(él/ella/Ud.)</i> nevó		pretérito perfector simple	2,0,9,7,5,4,326,2017-11-10 23:30,2017-11-24 13:30
"<u>oir</u>

gerundio"	oyendo		gerundio	2,0,9,9,10,9,2473,2017-10-30 14:12,2018-02-10 15:12
"<u>oir

</u>presente"	"oigo
oyes
oye
oímos
oís
oyen"		presente	2,0,17,13,2,3,232,2017-11-19 12:56,2017-11-29 04:56
"<u>oir</u>

pretérito perfecto simple"	"oí
oíste
oyó
oímos
oísteis
oyeron"		pretérito perfector simple	2,0,6,6,6,5,556,2017-11-08 09:45,2017-12-01 13:45
"<u>pedir</u>

gerundio"	pidiendo		gerundio	2,0,9,9,10,9,1742,2017-09-12 11:09,2017-11-24 01:09
"<u>pedir

</u>presente"	"pido
pides
pide
pedimos
pedís
piden"		presente	2,0,10,10,10,9,1461,2017-10-07 13:41,2017-12-07 10:41
"<u>pedir</u>

pretérito perfecto simple"	"pedí
pediste
pidió
pedimos
pedisteis
pidieron"		pretérito perfector simple	2,0,14,10,6,5,172,2017-11-16 10:30,2017-11-23 14:30
"<u>pertenecer</u>

presente"	"pertenezco
perteneces
pertenece
pertenecemos
pertenecéis
pertenecen"		presente	2,0,6,6,6,5,471,2017-11-05 10:27,2017-11-25 01:27
"<u>poder</u>

futuro"	"podré
podrás
podrá
podremos
podréis
podrán"		futuro	2,0,11,10,12,11,1773,2017-09-19 10:36,2017-12-02 07:36
"<u>poder</u>

gerundio"	pudiendo		gerundio	2,0,9,9,11,10,2997,2017-11-16 10:29,2018-03-21 07:29
"<u>poder</u>

pretérito perfector simple"	"pude
pudiste
pudo
pudimos
pudisteis
pudieron"		pretérito perfector simple	2,0,10,9,5,4,722,2017-11-02 10:47,2017-12-02 12:47
"<u>poner</u>

futuro"	"pondré
pondrás
pondrá
pondremos
pondréis
pondrán"		futuro	2,0,9,9,10,9,2557,2017-11-07 21:29,2018-02-22 10:29
"<u>poner</u>

participio pasado"	puesto		participio pasado	2,0,13,12,7,6,1593,2017-11-15 21:46,2018-01-21 06:46
"<u>poner</u>

presente subjuntivo"	"ponga
pongas
ponga
pongamos
pongáis
pongan"		presente subjuntivo	2,0,4,4,4,3,197,2017-11-14 21:40,2017-11-23 02:40
"<u>poner

</u>pretérito perfector simple"	"puse
pusiste
puso
pusimos
pusisteis
pusieron"		pretérito perfector simple	2,0,18,14,7,6,795,2017-10-30 20:26,2017-12-02 23:26
"<u>preferir</u>

gerundio"	prefiriendo		gerundio	2,0,9,9,10,9,2383,2017-11-08 09:44,2018-02-15 16:44
"<u>prohibir</u>

presente subjuntivo"	"prohíba
prohíbas
prohíba
prohibamos
prohibáis
prohíban"		presente subjuntivo	2,0,4,4,4,3,186,2017-11-13 21:28,2017-11-21 15:28
"<u>provocar</u>

presente subjuntivo"	"provoque
provoques
provoque
provoquemos
provoquéis
provoquen"		presente subjuntivo	2,0,4,4,4,3,213,2017-11-15 10:20,2017-11-24 07:20
"<u>querer</u>

futuro"	"querré
querrás
querrá
querremos
querréis
querrán"		futuro	2,0,10,10,10,9,1749,2017-09-20 20:46,2017-12-02 17:46
"<u>querer

</u>pretérito perfector simple"	"quise
quisiste
quiso
quisimos
quisisteis
quisieron"		pretérito perfector simple	2,0,11,10,8,7,1455,2017-10-03 21:14,2017-12-03 12:14
"<u>querer</u>

subjuntivo pretérito imperfecto"	"quisiera
quisieras
quisiera
quisiéramos
quisierais
quisieran"	"quisiese
quisieses
quisiese
quisiésemos
quisieseis
quisiesen"	subjuntivo pretérito imperfecto	2,0,5,5,5,6,268,2017-11-17 22:41,2017-11-29 02:41
"<u>recordar</u>

presente subjuntivo"	"recuerde
recuerdes
recuerde
recordemos
recordéis
recuerden"		presente subjuntivo	2,0,9,7,6,7,208,2017-11-19 12:56,2017-11-28 04:56
"<u>reunir</u>

presente subjuntivo"	"reúna
reúnas
reúna
reunamos
reunáis
reúnan"		presente subjuntivo	2,0,4,4,4,3,197,2017-11-14 21:39,2017-11-23 02:39
"<u>romper</u>

participio pasado"	roto		participio pasado	2,0,13,12,5,4,771,2017-10-22 15:46,2017-11-23 18:46
"<u>saber</u>

futuro"	"sabré
sabrás
sabrá
sabremos
sabréis
sabrán"		futuro	2,0,10,10,10,9,1685,2017-09-12 11:09,2017-11-21 16:09
"<u>saber</u>

presente subjuntivo"	"sepa
sepas
sepa
sepamos
sepáis
sepan"		presente subjuntivo	2,0,5,5,5,6,249,2017-11-19 11:52,2017-11-29 20:52
"<u>saber</u>

pretérito perfector simple"	"supe
supiste
supo
supimos
supisteis
supieron"		pretérito perfector simple	2,0,8,8,8,7,1080,2017-10-15 20:01,2017-11-29 20:01
